3603,Douglas,61,4,400000000
3701,Sally,52,4,55000000
3702,Irene,41,6,520000000
3703,Sharon,52,3,15500000
3801,Hector,51,5,260000000
3802,Norman,43,5,40000000
3803,Vincent,41,4,10500000
3901,Darrel,41,6,520000000
3902,Judith,51,5,260000000
3903,Joshua,51,4,55000000
4001,Francis,51,6,5800000000
4002,Thomas,52,5,260000000
4003,Leonard,51,4,55000000
4101,Travis,71,6,1700
4102,Edward,51,5,260000000
4103,Ida,32,6,125000000
4201,Travis,51,4,55000000
4202,Rita,52,4,55000000
4203,Lee,31,5,10000000
4301,Barry,71,6,1700
4302,Nicholas,51,5,260000000
4303,Clarence,61,4,400000000
4401,Lauren,44,6,520000000
4402,Irene,71,6,1700
4403,Johnny,52,4,55000000
4501,Wayne,61,4,400000000
4502,Joshua,52,4,55000000
4503,Sean,42,4,10500000
4601,Wendy,61,5,2000000000
4602,Lisa,51,6,5800000000
4603,Thomas,43,5,40000000
4701,Victoria,41,5,40000000
4702,Rachel,51,2,5000000
4703,Gladys,32,4,2400000
4801,Bernice,51,6,5800000000
4802,Jack,43,5,40000000
4803,Beatrice,42,6,520000000
4901,Joan,51,2,5000000
4902,Sherry,44,3,3050000
4903,Ruth,44,6,520000000
5001,Marilyn,51,5,260000000
5002,Lorraine,52,5,260000000
5003,Marilyn,61,1,12000000
5101,Leslie,32,3,640000
5102,Leslie,32,3,640000
5103,Joanne,61,5,2000000000
5201,Julie,41,5,40000000
5202,Dawn,52,3,15500000
5203,Stanley,41,4,10500000
5301,Euguene,32,5,10000000
5302,Ann,61,6,48000000000
5303,Irene,52,6,5800000000
5401,Norma,51,6,5800000000
5402,Warren,43,4,10500000
5403,Bobby,32,2,180000
5501,Rosa,51,2,5000000
5502,Dana,42,5,40000000
5503,Thomas,43,5,40000000
5601,Elsie,52,3,15500000
5602,Pedro,41,4,10500000
5603,Louis,41,6,520000000
5701,Herman,52,5,260000000
5702,Steve,43,6,520000000
5703,Carol,61,2,37000000
5801,Janet,51,2,5000000
5802,Ronnie,44,5,40000000
5803,Tiffany,52,6,5800000000
5901,Gloria,61,5,2000000000
5902,Dorothy,52,5,260000000
5903,Geraldine,42,5,40000000
6001,Jennifer,44,6,520000000
6002,Lauren,52,5,260000000
6003,Lorraine,52,1,5000000
6101,Michelle,42,5,40000000
6102,Peggy,44,2,950000
6103,Lois,51,1,1600000
6201,Steve,41,6,520000000
6202,Bradley,51,4,55000000
6203,Stanley,43,5,40000000
